luxes, temp, hum, curr, volt, power, dd,hh,mm
0.07,10,99,0,0.05,0,21,23,32
0.07,11,100,0,0.05,0,21,23,27
0.07,11,99,0,0.05,0,21,23,22
0.08,11,100,0,0.05,0,21,23,17
0.07,11,99,0,0.04,0,21,23,12
0.07,11,100,0,0.05,0,21,23,7
0.07,11,99,0,0.04,0,21,23,2
0.07,11,100,0,0.04,0,21,22,57
0.07,11,99,0,0.04,0,21,22,52
0.07,11,100,0,0.04,0,21,22,47
0.07,11,99,0,0.04,0,21,22,42
0.06,12,100,0,0.04,0,21,22,37
0.06,12,99,0,0.04,0,21,22,32
0.06,12,100,0,0.04,0,21,22,27
0.06,12,99,0,0.04,0,21,22,22
0.06,12,100,0,0.04,0,21,22,17
0.06,12,99,0,0.04,0,21,22,12
0.05,12,100,0,0.04,0,21,22,7
0.05,12,99,0,0.04,0,21,22,2
0.04,13,100,0,0.04,0,21,21,57
0.04,13,99,0,0.04,0,21,21,52
0.04,13,100,0,0.04,0,21,21,47
0.04,13,99,0,0.04,0,21,21,42
0.04,13,100,0,0.04,0,21,21,37
0.04,13,99,0,0.04,0,21,21,32
0.04,13,100,0,0.04,0,21,21,27
0.04,14,99,0,0.04,0,21,21,22
0.04,14,100,0,0.04,0,21,21,17
0.04,14,99,0,0.04,0,21,21,12
0.03,14,100,0,0.03,0,21,21,7
0.03,14,99,0,0.03,0,21,21,2
0.03,14,100,0,0.03,0,21,20,57
0.03,14,99,0,0.03,0,21,20,52
0.03,14,98,0,0.03,0,21,20,47
0.02,14,97,0,0.03,0,21,20,42
0.02,14,95,0,0.03,0,21,20,37
0.02,15,94,0,0.03,0,21,20,32
0.02,15,91,0,0.03,0,21,20,27
0.02,15,91,0,0.03,0,21,20,22
0.02,15,90,0,0.03,0,21,20,17
0.01,15,93,0,0.03,0,21,20,12
0.01,15,95,0,0.03,0,21,20,7
0.01,14,96,0,0.02,0,21,20,2
0.01,14,96,0,0.02,0,21,19,57
0.01,15,96,0,0.02,0,21,19,52
0,15,95,0,0.02,0,21,19,47
0,15,93,0,0.02,0,21,19,42
0,15,91,0,0.02,0,21,19,37
0.01,15,93,0,0.02,0,21,19,32
0,15,91,0,0.02,0,21,19,27
0,15,90,0,0.02,0,21,19,22
0,15,90,0,0.02,0,21,19,17
0,15,88,0,0.02,0,21,19,12
0,16,86,0,0.01,0,21,19,7
0,16,85,0,0.01,0,21,19,2
0,16,85,0,0.01,0,21,18,57
0,16,83,0,0.02,0,21,18,52
0.01,16,82,0,0.03,0,21,18,47
0.05,17,80,0,0.05,0,21,18,42
0.18,17,77,0,0.13,0,21,18,37
0.61,17,75,0,0.41,0,21,18,32
2.28,18,73,0,1.5,0,21,18,27
8.58,18,71,0,4.69,0,21,18,22
28.86,18,69,0,9.73,0.01,21,18,17
75.8,18,67,0,13.81,0.01,21,18,12
155.36,18,63,0,14.65,0,21,18,7
267.36,19,58,0,14.65,0.04,21,18,2
418.24,20,56,0,14.65,0.08,21,17,57
590.4,20,55,0.01,14.65,0.13,21,17,52
778.24,21,52,0.01,14.66,0.18,21,17,47
973.44,22,51,0.02,14.66,0.26,21,17,42
1502.72,23,48,0.02,14.66,0.31,21,17,37
1985.28,24,47,0.03,14.67,0.44,21,17,32
2795.52,25,45,0.04,14.68,0.59,21,17,27
3596.8,25,43,0.05,14.68,0.79,21,17,22
3988.48,26,42,0.07,14.69,1.02,21,17,17
4587.52,27,42,0.09,14.7,1.32,21,17,12
5191.68,27,42,0.1,14.7,1.45,21,17,7
6095.36,27,40,0.14,14.73,2.02,21,17,2
7303.68,27,39,0.16,14.74,2.3,21,16,57
8340.48,29,37,0.17,14.74,2.55,21,16,52
9082.88,30,35,0.19,14.76,2.84,21,16,47
9530.88,31,33,0.21,14.77,3.08,21,16,42
9940.48,31,34,0.22,14.77,3.33,21,16,37
10478.08,32,33,0.24,14.79,3.57,21,16,32
